Area;Indicator Name;Year;Fertilizer (kg/ha)
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2005;"294,51"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2006;"380,79"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2007;"410,06"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2008;"495,23"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2009;"164,68"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2010;"297,31"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2011;"311,01"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2012;"191,39"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2013;"160,81"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2014;"192,15"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2015;"181,79"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2016;"119,04"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2017;"213,55"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2018;221
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2019;"211,75"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2020;"199,73"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2021;"208,08"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2022;"188,58"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2023;"169,02"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1961;"152,72"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1962;"155,25"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1963;"162,7"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1964;"174,34"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1965;"183,3"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1966;"194,6"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1967;"195,95"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1968;"205,36"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1969;"216,45"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1970;"224,61"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1971;"238,94"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1972;"255,26"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1973;"277,48"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1974;"217,41"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1975;"241,15"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1976;"245,22"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1977;"262,22"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1978;"260,35"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1979;"264,1"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1980;"237,69"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1981;"234,23"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1982;"248,16"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1983;"267,76"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1984;"252,42"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1985;"243,6"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1986;"247,53"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1987;"234,99"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1988;"241,02"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1989;"255,64"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1990;"247,25"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1991;"227,86"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1992;"199,68"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1993;"190,68"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1994;"197,04"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1995;"188,87"
