Year;Actual;Predicted;Type
1984;16863;15842.327960461642;Train
1984;17814;16532.094034353242;Train
1984;20198;16934.791418310302;Train
1984;17439;19225.367455091407;Train
1984;36096;25690.734239002362;Train
1984;27283;27332.42188065106;Train
1985;27631;25622.93450663697;Train
1985;5667;9741.148740614391;Train
1985;17911;14171.517235885733;Train
1985;32791;29238.80947703062;Train
1985;42339;37234.3835631848;Train
1985;17444;24562.771919016635;Train
1985;32446;27375.851898557197;Train
1985;19815;16660.331531670654;Train
1985;11027;15430.665079628263;Train
1985;24275;25383.060300122408;Train
1985;36205;25237.923383500034;Train
1985;19621;16207.055388791212;Train
1985;35859;29979.236355533656;Train
1985;20658;17949.544369688436;Train
1985;9194;11443.525445178186;Train
1985;38798;37097.43712153282;Train
1985;17962;18169.195652272098;Train
1985;20788;23812.979895895154;Train
1985;17441;18007.24247879561;Train
1985;29325;27602.463265060396;Train
1985;18286;16530.082277165417;Train
1986;36779;23993.365094108976;Train
1986;36596;36075.37132590171;Train
1986;26259;28187.486901871856;Train
1986;19434;22856.6505340428;Train
1986;19624;18598.40267689111;Train
1986;41074;37319.659763774725;Train
1986;15760;15141.827542362833;Train
1986;31042;29975.42239180198;Train
1986;18663;16445.800937061027;Train
1986;20295;23859.65742973459;Train
1986;23380;25424.95884916785;Train
1986;7857;10500.755043691286;Train
1986;12436;15198.758142444096;Train
1986;12885;12589.812681488513;Train
1986;18546;16745.51329227773;Train
1986;28186;25275.46500755644;Train
1986;31083;29221.282736567566;Train
1986;17269;14390.802469044489;Train
1986;19100;18231.29013169753;Train
1986;20410;17103.980659285568;Train
1986;35841;28730.99194804814;Train
1987;29221;28604.05375811755;Train
1987;8643;14647.292527157566;Train
1987;34884;29216.30527320785;Train
1987;18765;18482.722578169796;Train
1987;16008;15893.924380549433;Train
1987;22173;17102.055943551957;Train
1987;25771;24798.094454735063;Train
1987;21579;25455.074898149374;Train
1987;18744;24215.15349467445;Train
1987;44879;37485.81088766129;Train
1987;13095;11919.334114405412;Train
1987;32342;24311.079798941886;Train
1987;11763;18191.088455952737;Train
1987;6357;9940.209855055882;Train
1987;13065;14860.349804791376;Train
1987;32399;36803.05882560646;Train
1987;37829;30098.771928428887;Train
1987;18296;16832.7511452135;Train
1987;18820;14466.186141779497;Train
1987;24747;29248.686578292734;Train
1987;23003;26488.495268597595;Train
1988;41974;37057.728647253236;Train
1988;37318;25206.490982222076;Train
1988;19074;19741.13019108481;Train
1988;29717;28476.319537523224;Train
1988;41000;37778.328571738006;Train
1988;36622;29719.86020421991;Train
1988;22397;17001.798232550842;Train
1988;35634;31087.663284258982;Train
1988;16057;14430.822556016275;Train
1988;9785;15401.266745895191;Train
1988;38074;29800.8589011119;Train
1988;11114;14014.588495104856;Train
1988;5000;10996.420966256763;Train
1988;18599;24244.70855299332;Train
1988;26157;25555.595283990046;Train
1988;18127;16879.173554317575;Train
1988;10719;12570.567943651398;Train
1988;30229;25320.68637483743;Train
1988;18502;16115.81303269642;Train
1988;24669;23845.221708478708;Train
1988;18423;17251.552404422433;Train
1989;10778;12166.802495531843;Train
1989;19716;16255.90448260936;Train
1989;20500;17049.930468615472;Train
1989;21904;19640.772280836067;Train
1989;34966;29776.1779795509;Train
1989;36959;23605.624986443177;Train
1989;22429;24975.292190853186;Train
1989;26497;26979.021285999916;Train
1989;13762;15065.14788155442;Train
1989;35826;29769.80728049122;Train
1989;41532;35933.053323280044;Train
1989;12578;14035.897476110325;Train
1989;19295;14456.090884929305;Train
1989;38500;31390.47436669611;Train
1989;21711;17115.989479537904;Train
1989;18505;19615.484910622923;Train
1989;18601;16062.370116892804;Train
1989;26099;23021.304912587024;Train
1989;28508;27927.228390086464;Train
1989;24229;25172.774595581323;Train
1989;11268;11118.092707181448;Train
1990;17077;17601.845724017796;Train
1990;25751;25327.806675203523;Train
1990;19785;17197.552942993578;Train
1990;10499;16523.704688345904;Train
1990;19649;18645.92292675112;Train
1990;40138;38693.40434464483;Train
1990;18947;20315.369080502936;Train
1990;22437;23490.81959469521;Train
1990;24985;27000.869801006185;Train
1990;36516;37713.2390149662;Train
1990;24897;25970.34180835181;Train
1990;21498;25194.23804330266;Train
1990;25776;31475.705540558694;Train
1990;6667;11437.47656522849;Train
1990;29079;30825.475517962972;Train
1990;37902;40016.55144111719;Train
1990;37458;32409.62676892527;Train
1990;11000;16902.832585710614;Train
1990;34803;29884.226769368794;Train
1990;19162;21637.689102363835;Train
1990;11160;15925.031464798287;Train
1991;12651;16152.644206595734;Train
1991;33614;30553.622179148464;Train
1991;18566;21432.431928424874;Train
1991;27854;29368.509541630534;Train
1991;35407;35743.01106342457;Train
1991;16759;14997.79115421986;Train
1991;38671;38744.484395899184;Train
1991;23637;27941.69199711303;Train
1991;19467;18149.044515867114;Train
1991;29161;29323.30141615969;Train
1991;23065;24061.790848457927;Train
1991;32163;33117.39893069933;Train
1991;39879;38071.275800279844;Train
1991;7973;12462.78322153332;Train
1991;14475;14157.907819338907;Train
1991;11702;17215.717425645824;Train
1991;22749;25181.053354436208;Train
1991;20011;27774.212584918165;Train
1991;7782;11185.882141503631;Train
1991;29846;31569.124548024804;Train
1991;20218;19974.796977414437;Train
1992;36543;34633.65585749814;Train
1992;40817;40451.96490060314;Train
1992;16850;13027.18386544935;Train
1992;11891;15758.79699425418;Train
1992;8292;11419.58969162768;Train
1992;13309;15707.7854356137;Train
1992;30193;33268.95935971064;Train
1992;14451;14126.784500354155;Train
1992;26773;25060.63937990749;Train
1992;33008;30267.116593943898;Train
1992;20146;17445.964620060873;Train
1992;42285;39727.58045934614;Train
1992;33154;32032.627155001795;Train
1992;22347;26937.9910430108;Train
1992;23605;23256.208044554474;Train
1992;20432;20116.630608642394;Train
1992;43387;37808.25624833495;Train
1992;19289;21893.122026867568;Train
1992;7902;12729.218430017525;Train
1992;12100;19720.223829612005;Train
1992;12048;13971.679980272987;Train
1992;9492;13828.839030351268;Train
1992;11533;21278.42006627911;Train
1992;28869;27222.432431704685;Train
1992;11896;12688.070318854467;Train
1992;22659;21963.56584659183;Train
1992;11826;11990.756946006723;Train
1992;14326;16489.659147876326;Train
1993;14501;13672.823290777638;Train
1993;22457;22069.406861570184;Train
1993;18375;17344.151584509636;Train
1993;12643;13814.60955258869;Train
1993;36008;35515.18718241671;Train
1993;20248;18930.090610489722;Train
1993;7844;13607.35490695813;Train
1993;14541;13215.07451146712;Train
1993;13310;13561.565835970769;Train
1993;13942;16102.56289496066;Train
1993;15546;17256.386985842957;Train
1993;28493;27552.504062496562;Train
1993;12574;25026.100489964552;Train
1993;9081;11518.184835723083;Train
1993;14895;13925.39392668137;Train
1993;24960;25199.460653135466;Train
1993;9845;11304.716402243535;Train
1993;37510;32487.879003690654;Train
1993;39254;35815.46091916596;Train
1993;21352;21683.79964242255;Train
1993;43926;39193.393584304766;Train
1993;38678;29762.94226891587;Train
1993;20600;17036.94983480383;Train
1993;24232;23538.60355382941;Train
1993;13696;12661.400088003304;Train
1993;26343;27366.961215938576;Train
1993;43766;41646.8726496559;Train
1993;41579;39835.113897619776;Train
1994;23085;25178.413347061174;Train
1994;17268;22019.41614578515;Train
1994;19965;24446.336371076974;Train
1994;30000;27784.21324865896;Train
1994;12767;14235.632713468489;Train
1994;32951;34924.79392814252;Train
1994;33174;37846.545408162296;Train
1994;19234;17557.987551049373;Train
1994;33530;32709.813784309434;Train
1994;32218;29688.492801335367;Train
1994;20048;19469.439999084643;Train
1994;11824;15211.32865126381;Train
1994;8140;12336.356220873702;Train
1994;8489;14343.772801671967;Train
1994;10507;11608.006171249186;Train
1994;13585;17017.003606897797;Train
1994;9411;13080.435456303167;Train
1994;14096;13776.51221316735;Train
1994;41450;41321.452235374716;Train
1994;14495;16100.395000635248;Train
1994;11853;12660.99598934846;Train
1994;23378;23001.077389542195;Train
1994;39996;39877.56158600605;Train
1994;12996;13717.444419350797;Train
1994;10545;12530.484798150695;Train
1994;22919;23901.0081462845;Train
1994;34838;29824.845627133524;Train
1994;19880;21715.04838332907;Train
1995;15775;15873.22442348546;Train
1995;22105;23037.04709299261;Train
1995;37450;39289.2615322665;Train
1995;11662;11592.187357012135;Train
1995;20059;18914.659808208442;Train
1995;26795;25964.67295828402;Train
1995;27589;28597.24928364329;Train
1995;14846;15929.275986216502;Train
1995;33964;30932.24638716699;Train
1995;12799;13553.151401893396;Train
1995;34735;32782.82465272068;Train
1995;35294;37780.495831554384;Train
1995;18991;23878.09943360676;Train
1995;12361;12579.051290996867;Train
1995;13109;14776.117506552973;Train
1995;9623;12374.480682409352;Train
1995;16351;17138.60811075699;Train
1995;23771;23609.473948273848;Train
1995;31406;34641.724953587436;Train
1995;14559;13631.081559727596;Train
1995;41006;41084.3632843061;Train
1995;10416;15803.101500693774;Train
1995;30679;30284.352476445336;Train
1995;23289;22945.323956086777;Train
1995;18999;17775.453110773735;Train
1995;11132;10900.83943975904;Train
1995;22236;25124.6280628119;Train
1995;11470;13219.21352571295;Train
1996;40744;40138.496793973754;Train
1996;20283;17619.395005665472;Train
1996;23576;25499.020299505693;Train
1996;22003;22559.021026876224;Train
1996;20058;20151.112868232038;Train
1996;8062;11250.87665458123;Train
1996;14176;13354.131984559192;Train
1996;48722;42242.525644199995;Train
1996;43681;41624.095692537674;Train
1996;13976;12725.682332710665;Train
1996;13747;13463.930698236532;Train
1996;30165;28446.935630232776;Train
1996;23132;25182.276420680613;Train
1996;36750;27271.238520456307;Train
1996;14581;15991.982018166962;Train
1996;32812;31376.465518268466;Train
1996;36175;36633.74366172959;Train
1996;39010;35944.06686927209;Train
1996;10163;17622.088656105352;Train
1996;15133;16559.549834567457;Train
1996;22467;31112.230770772698;Train
1996;21192;18964.00260208721;Train
1996;16315;13782.557269442663;Train
1996;11886;12297.37789874673;Train
1996;19300;23937.030167821977;Train
1996;21201;18311.99029822727;Train
1996;29200;26852.383390472056;Train
1996;10614;10941.620030748432;Train
1997;10987;11877.551573401925;Train
1997;20478;22093.840292415287;Train
1997;10454;11203.694088043278;Train
1997;25934;27880.68658682671;Train
1997;12664;12806.445393494516;Train
1997;19177;19519.088244252896;Train
1997;22714;22568.95916478025;Train
1997;9917;16866.886731891696;Train
1997;33901;31209.56873801946;Train
1997;38406;38350.1498850836;Train
1997;42966;40486.52886605665;Train
1997;44319;42740.99198527776;Train
1997;22261;22962.12803588475;Train
1997;28833;28477.504510054147;Train
1997;9812;13612.57362002781;Train
1997;39615;28118.862492151813;Train
1997;12415;13389.16718504936;Train
1997;21682;19293.740314823204;Train
1997;45916;38453.18518738161;Train
1997;24182;24451.190394334866;Train
1997;15903;17447.45619186185;Train
1997;26234;25319.03463703616;Train
1997;12395;15656.192156520583;Train
1997;10588;12533.158627175793;Train
1997;39785;37487.58395752586;Train
1997;13595;13428.65594577474;Train
1997;17934;17507.3597717411;Train
1997;15097;13720.220824009211;Train
1998;20247;19869.183027806226;Train
1998;10180;12507.60020519434;Train
1998;21268;23582.989667051992;Train
1998;24342;23744.0509446352;Train
1998;18009;23872.636796637566;Train
1998;41488;43020.49023023253;Train
1998;12721;12078.319255499653;Train
1998;9404;11638.964187684147;Train
1998;10238;15299.031988743125;Train
1998;35576;31877.31358877045;Train
1998;11804;13379.261260749847;Train
1998;21804;17078.84433212398;Train
1998;10897;22097.273512919983;Train
1998;20038;19651.567642777114;Train
1998;9715;13478.39856023825;Train
