Year;Actual_Yield;Predicted_Yield;Data_Type
2003;21770;23304.40373601909;Train
2004;25149;24890.465379643425;Train
2005;25082;24982.250489408652;Train
2006;24607;25027.056235530184;Train
2007;25630;25383.11155189255;Train
2008;22724;24366.360450221564;Train
2009;24835;25271.68534693242;Train
2010;24968;25859.65295021266;Train
2011;24916;26362.54271085505;Train
1992;12048;13643.19775797183;Train
1993;14501;13537.773249255524;Train
1994;12996;13599.03638833693;Train
1995;11470;12674.842042766188;Train
1996;13747;13804.196537894273;Train
1997;13595;13108.372657884203;Train
1998;11804;12751.340454082701;Train
1999;15878;14147.638204736368;Train
2000;14563;14453.020229744117;Train
2001;11167;12814.604853136516;Train
2002;14336;14166.286160096408;Train
2003;13535;14051.442963085527;Train
2004;12851;13563.397732775744;Train
2005;14594;14118.023226830026;Train
2006;12215;13604.760316200474;Train
2007;15933;15482.928756414723;Train
2008;17815;16774.675381101613;Train
2009;17513;16843.165095739016;Train
2010;16080;16441.109876575887;Train
2011;16801;16698.62898920334;Train
1992;9492;12736.761634309625;Train
1993;14541;13052.41700794284;Train
1994;9411;12073.15587251119;Train
1995;12799;13169.754856282252;Train
1996;16315;14321.127905142632;Train
1997;15097;13665.83408548594;Train
1998;13577;12985.080876168851;Train
1999;14105;14252.416380345878;Train
2000;16392;14513.36243284762;Train
2001;10287;12706.673860953906;Train
2002;15437;14484.368181618736;Train
2003;15440;14907.687991441284;Train
2004;12880;13209.359053768656;Train
2005;12099;13460.486128612978;Train
2006;7908;11498.82683636126;Train
2007;10911;17829.680685152493;Train
2008;14802;16660.39709978358;Train
2009;14217;16211.821699732005;Train
2010;13030;18888.198903086974;Train
2011;15589;16590.820830181005;Train
2006;13045;12810.566911736985;Train
2007;10504;12490.553380229538;Train
2008;13098;13126.655229648177;Train
2009;15098;14208.752352645743;Train
2010;14596;14734.193069095956;Train
2011;16500;15490.279704413491;Train
1961;28040;27180.703586384538;Train
1962;30497;29106.030525688035;Train
1963;28784;30168.84322570678;Train
1964;32990;30971.57373997652;Train
1965;25890;28466.991591828886;Train
1966;31560;29897.701296675557;Train
1967;35029;32737.24903925443;Train
1968;34370;32068.427535143335;Train
1969;32372;32340.69274665128;Train
1970;35649;33162.55762992826;Train
1971;37313;33932.60386914825;Train
1972;37488;34253.21774443847;Train
1973;36829;35621.905888985486;Train
1974;42918;36763.217602773984;Train
1975;33098;33818.86637304882;Train
1976;30196;32733.331827784394;Train
1977;34300;33859.937140991686;Train
1978;38572;36337.08930562816;Train
1979;37772;36873.27076118039;Train
1980;36413;36837.61316207524;Train
1981;39072;37901.08219166764;Train
1982;37472;36786.43678767932;Train
1983;33132;35477.37099911321;Train
1984;41698;39489.67360853487;Train
1985;42339;40909.70345801976;Train
1986;41074;40489.58342230547;Train
1987;44879;42261.67018733904;Train
1988;41974;41117.780180341164;Train
1989;41532;39903.67316212205;Train
1990;40138;39386.22825000001;Train
1991;38671;38670.30416666667;Train
1992;40817;40722.57982142859;Train
1993;43766;42812.78521274114;Train
1994;41450;41422.09677214842;Train
1995;41006;41166.0238328627;Train
1996;43681;42404.39555688609;Train
1997;44319;43334.310993546664;Train
1998;41488;42541.29011966331;Train
1999;46283;44870.807214353954;Train
2000;45655;44868.97352871686;Train
2001;43411;44190.56792787274;Train
2002;44569;44600.016437262864;Train
2003;40775;41612.66405714242;Train
2004;45683;44807.95595714953;Train
2005;43442;43769.859846194304;Train
2006;40049;42017.62249487162;Train
2007;43788;44302.68519310716;Train
2008;45574;45013.14482526505;Train
2009;46338;45372.271966051914;Train
2010;43598;43715.05129948291;Train
2011;46055;45957.99623794961;Train
1961;22930;21702.43784701894;Train
1962;18246;20134.942286621383;Train
1963;23581;22743.7244154211;Train
1964;16406;20515.884003984655;Train
1965;23475;23484.847374570807;Train
1966;24430;23622.969954860302;Train
1967;20100;21992.160357537767;Train
1968;23976;24265.453834724267;Train
1969;26251;24155.970270619157;Train
1970;25574;24504.26644339936;Train
1971;22812;23671.32596625073;Train
1972;22056;24335.131250142902;Train
1973;22960;23659.425174251202;Train
1974;28502;25823.97813295408;Train
1975;19021;22657.797348202337;Train
1976;20082;24117.57091040929;Train
1977;24987;25659.275112845753;Train
1978;27077;26975.614723958606;Train
1979;23665;26814.184125551834;Train
1980;27973;27427.833038003373;Train
1981;26015;25830.91992098525;Train
1982;25515;25715.89942278645;Train
1983;24479;25101.574299627497;Train
1984;25857;25701.712139019724;Train
1985;24275;25017.683039181713;Train
1986;23380;25013.42925858115;Train
1987;21579;25121.40822047925;Train
1988;26157;25603.644461300002;Train
1989;24229;24767.097467363335;Train
1990;25751;25147.31164683071;Train
1991;22749;24970.539724278413;Train
1992;26773;24872.087437286154;Train
1993;24960;24953.05712721939;Train
1994;23085;24968.849840687006;Train
1995;22236;25074.088496128606;Train
1996;23132;25060.936091653726;Train
1997;26234;25207.30809064324;Train
1998;26842;25297.179033627246;Train
1999;25626;25275.941943964142;Train
2000;23589;24704.604164108147;Train
2001;26288;25337.43533646162;Train
2002;25614;25300.342925747336;Train
2003;25165;25423.72306248642;Train
2004;27943;25549.80553229657;Train
2005;23052;25041.40986486698;Train
2006;26933;25628.965975566407;Train
2007;22798;24625.284333639444;Train
2008;27819;25647.48200496038;Train
2009;24184;25108.028910455854;Train
